st,stname,year,population,domestics,immigrants,bach_share,efi_score,cm_share,ehs_share,ifpbs_share,nrm_share,ttuhos_share,private_gdp
01,Alabama,2005,4569805,4447018,122787,0.2105789856673031,6.834984541923478,0.25932949938371974,0.082756755261435,0.3292620927709251,0.03538647380117354,0.2932651787827466,162679.8
02,Alaska,2005,666946,631148,35798,0.2718506673728274,3.6735659410981882,0.1245500641866475,0.07832728757575842,0.2719779835603872,0.1961342577702202,0.32901040690698674,34472.4
04,Arizona,2005,5839077,4979893,859184,0.25578887044716087,7.087185688437425,0.18252073654342404,0.08345844391395653,0.40503281017329495,0.030353233970856878,0.29863477539846744,242592.4
05,Arkansas,2005,2781097,2672846,108251,0.18751516858986,6.4857701230174465,0.26769809135250056,0.08952536808010939,0.2866712078757344,0.04239091565820566,0.31371441703345,96077.2
06,California,2005,35827943,26047124,9780819,0.29525793850064974,4.7318908323385145,0.18964746865788673,0.0761313668095332,0.42789176663692946,0.021819332618822507,0.2845100652768281,1745693.9
08,Colorado,2005,4631888,4162256,469632,0.35528524411703555,7.246595308057014,0.15656243520329233,0.07426617797071945,0.44613977107391684,0.03992507363536215,0.2831065421167092,223503.8
09,Connecticut,2005,3506956,3075759,431197,0.3496589709123019,6.457412749785458,0.21692252999041864,0.09775727595520621,0.45570522464091695,0.00279072388871788,0.22682424552474018,229080.7
10,Delaware,2005,845150,783420,61730,0.2762528725273735,6.493659140784295,0.14601476145668443,0.06890819617296819,0.5986397430851073,0.008514275771310607,0.17792302351392944,59235.0
12,Florida,2005,17842038,14533179,3308859,0.25141362947640883,7.12268788432236,0.1518052434187487,0.08727623462935875,0.43375507023367205,0.011849836552649626,0.31531361516557094,773177.7
13,Georgia,2005,8925922,8123949,801973,0.27041312300205816,7.086329292867461,0.2060840353149555,0.07274779113594713,0.41312888960753724,0.015505771031439774,0.2925335129101204,413967.2
15,Hawaii,2005,1292729,1066775,225954,0.2814636584988653,5.431725621682971,0.11992350371195962,0.09022607697570209,0.3726726984188084,0.01028115710258936,0.40689656379094047,56826.9
16,Idaho,2005,1428241,1342593,85648,0.2370771051990643,6.318310515632954,0.20926088693567718,0.08460846983619656,0.3490651218537755,0.07179784258889332,0.28526767878545745,49816.8
17,Illinois,2005,12609903,10883347,1726556,0.29248357172262446,6.019058248968068,0.20545935627711917,0.08683353158027232,0.42296219503808824,0.008218111988758095,0.2765268051157621,654076.7
18,Indiana,2005,6278616,6033517,245099,0.21044084002983487,6.343568503458822,0.3497941711127312,0.09081720745552294,0.2773070823965036,0.01469335837870618,0.2673881806565362,272919.3
19,Iowa,2005,2964454,2862065,102389,0.23707444107345146,6.296346838840034,0.2721418063764354,0.08465626969522672,0.3429222191549032,0.04770532704028597,0.25257437773314867,134181.2
20,Kansas,2005,2745299,2595504,149795,0.28230868587185254,6.51847545127275,0.2262744058179406,0.09427728161992577,0.32201145764707273,0.04557726986522184,0.311859585049839,109031.1
21,Kentucky,2005,4182742,4078029,104713,0.19264554308890575,5.841085128954014,0.26251127447872125,0.09902583327617913,0.2813922250418305,0.05254521761523262,0.30452544958803673,154014.6
22,Louisiana,2005,4576628,4447967,128661,0.20723495206460732,6.013299514839306,0.40274240553313784,0.0689331547264669,0.22013388164906325,0.06274898385188125,0.24544157423945082,218530.2
23,Maine,2005,1318787,1279385,39402,0.2535661387844022,4.873077656680532,0.1886730280500702,0.13856726807785197,0.356835330144749,0.019987845495730138,0.29593652823159855,50580.9
24,Maryland,2005,5592379,4930969,661410,0.3455490110155452,7.362311709751316,0.14785845113689594,0.10776269708532485,0.46755480004062483,0.005484734612293792,0.27133931712486065,256976.0
25,Massachusetts,2005,6403290,5466637,936653,0.3673273397052686,6.545290800334389,0.15481983524177464,0.13018777202117374,0.4785822960899262,0.0033787821997078244,0.23303131444741737,366123.4
